File,Min,Mean,Max
sm1_mm_ACCESS1-3_rcp45_may_mean_2000-2009_mean.tif,1.0,7.1,13.0
sm1_mm_ACCESS1-3_rcp45_jun_mean_2000-2009_mean.tif,1.0,7.0,13.0
sm1_mm_ACCESS1-3_rcp45_jul_mean_2000-2009_mean.tif,3.0,7.3,12.0
sm1_mm_ACCESS1-3_rcp45_aug_mean_2000-2009_mean.tif,4.0,7.8,12.0
sm1_mm_ACCESS1-3_rcp45_sep_mean_2000-2009_mean.tif,4.0,8.0,12.0
sm1_mm_ACCESS1-3_rcp45_oct_mean_2000-2009_mean.tif,4.0,8.1,12.0
sm1_mm_ACCESS1-3_rcp45_nov_mean_2000-2009_mean.tif,4.0,8.2,12.0
sm1_mm_ACCESS1-3_rcp45_dec_mean_2000-2009_mean.tif,4.0,8.4,12.0
sm1_mm_ACCESS1-3_rcp45_jan_mean_2010-2019_mean.tif,5.0,8.7,12.0
sm1_mm_ACCESS1-3_rcp45_feb_mean_2010-2019_mean.tif,5.0,8.9,12.0
sm1_mm_ACCESS1-3_rcp45_mar_mean_2010-2019_mean.tif,5.0,8.9,13.0
sm1_mm_ACCESS1-3_rcp45_apr_mean_2010-2019_mean.tif,1.0,8.3,13.0
sm1_mm_ACCESS1-3_rcp45_may_mean_2010-2019_mean.tif,1.0,7.0,13.0
sm1_mm_ACCESS1-3_rcp45_jun_mean_2010-2019_mean.tif,1.0,7.0,12.0
sm1_mm_ACCESS1-3_rcp45_jul_mean_2010-2019_mean.tif,2.0,7.3,12.0
sm1_mm_ACCESS1-3_rcp45_aug_mean_2010-2019_mean.tif,3.0,7.9,12.0
sm1_mm_ACCESS1-3_rcp45_sep_mean_2010-2019_mean.tif,4.0,7.9,12.0
sm1_mm_ACCESS1-3_rcp45_oct_mean_2010-2019_mean.tif,5.0,8.1,12.0
sm1_mm_ACCESS1-3_rcp45_nov_mean_2010-2019_mean.tif,5.0,8.3,12.0
sm1_mm_ACCESS1-3_rcp45_dec_mean_2010-2019_mean.tif,5.0,8.6,12.0
sm1_mm_ACCESS1-3_rcp45_jan_mean_2020-2029_mean.tif,5.0,8.7,12.0
sm1_mm_ACCESS1-3_rcp45_feb_mean_2020-2029_mean.tif,5.0,8.8,13.0
sm1_mm_ACCESS1-3_rcp45_mar_mean_2020-2029_mean.tif,5.0,8.9,13.0
sm1_mm_ACCESS1-3_rcp45_apr_mean_2020-2029_mean.tif,3.0,8.6,13.0
sm1_mm_ACCESS1-3_rcp45_may_mean_2020-2029_mean.tif,2.0,7.4,13.0
sm1_mm_ACCESS1-3_rcp45_jun_mean_2020-2029_mean.tif,1.0,7.1,12.0
sm1_mm_ACCESS1-3_rcp45_jul_mean_2020-2029_mean.tif,3.0,7.5,12.0
sm1_mm_ACCESS1-3_rcp45_aug_mean_2020-2029_mean.tif,4.0,8.0,12.0
sm1_mm_ACCESS1-3_rcp45_sep_mean_2020-2029_mean.tif,5.0,8.1,12.0
sm1_mm_ACCESS1-3_rcp45_oct_mean_2020-2029_mean.tif,5.0,8.1,12.0
sm1_mm_ACCESS1-3_rcp45_nov_mean_2020-2029_mean.tif,5.0,8.3,12.0
sm1_mm_ACCESS1-3_rcp45_dec_mean_2020-2029_mean.tif,5.0,8.5,12.0
sm1_mm_ACCESS1-3_rcp45_jan_mean_2030-2039_mean.tif,5.0,8.7,13.0
sm1_mm_ACCESS1-3_rcp45_feb_mean_2030-2039_mean.tif,5.0,8.8,13.0
sm1_mm_ACCESS1-3_rcp45_mar_mean_2030-2039_mean.tif,4.0,8.8,13.0
sm1_mm_ACCESS1-3_rcp45_apr_mean_2030-2039_mean.tif,1.0,8.1,13.0
sm1_mm_ACCESS1-3_rcp45_may_mean_2030-2039_mean.tif,2.0,7.1,13.0
sm1_mm_ACCESS1-3_rcp45_jun_mean_2030-2039_mean.tif,1.0,6.8,12.0
